id,coder,coder_number,coder_text,pmcid,protocol,include,participants,participants_text,journal,publisher,pub_year,impact_factor,verbatim,power_calc_type,power_calc_type_text,multiple,stats_knowledge,version,version_text,power,power_text,alpha,alpha_text,sample_size,sample_size_text,effect_size_type,effect_size_type_other_standardized_text,effect_size_type_other_nonstandardized_text,effect_size_value,effect_size_value_text,stat_test,stat_test_other_regression_text,stat_test_other_nonregression_text,other_info_missing,reproducible,reproducible_text,justification,justification_text,mult_compare,mult_compare_text,anova_within_between,match,match_text,error,error_text,impact,comments_calc,comments_general
43,EZ/RTT,,,PMC6361694,No,Include,Humans,,Memory,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2019,1.873,"A minimum number of participants required was determined by an a priori power analysis (GPower; Faul, Edgar Erdfelder, & Buchner, 2007). Because we were looking for a novel interaction effect based on verbal cues, we did not have a clear way to estimate power. As such, we based our power analyses on aligned vs. misaligned pointing error studied in previous literature (Mou & McNamara, 2002) as we expected alignment effects to differ based upon verbal cues. The power analysis indicated each experiment required 40 participants to have 80% power to detect a medium-sized effect between aligned versus misaligned pointing error when employing an alpha of 0.05.",Solves for sample size (often called a priori),,No,Yes,No,,Yes (0.80),,Yes (0.05),,Yes,40,No,,,No,,the statistical test is NOT reported,,,,No,,"Reference to other study to justify their calculation in general, but not specifically their chosen effect size (e.g., they may not state the effect size)",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,,,,
43,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,EZ,1,,PMC6511341,No,Include,Humans,,European Journal of Pediatrics,,2019,2.242,"The sample size was calculated with the G*Power 3.1 software, and the two-tailed t test was applied (Cohen‚Äôs d, 0.8; alpha error, 0.05; power, 0.95). The minimum of 61 participants turned out necessary to achieve an acceptable level of significance and power of the study; 93 were involved.",Solves for sample size (often called a priori),,No,Probably,Yes,3.1,Yes,0.95,Yes (0.05),,Yes,61,d,,,Yes,0.8,t-test,,,Independence is not reported in the power calculation.,No,,No justification or basis is reported,,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",,No,No,,Unsure (there's not enough information to reasonably code yes or no).,I am suspecting that they have binomial variable that they're powering for using a t-test whilst it would've been advisable to use chisq or fisher,,,
44,RTT,2,,PMC6511341,No,Include,Humans,,european journal of pediatrics,,2019,2.242,"The sample size was calculated with the G*Power 3.1 software, and the two-tailed t test was applied (Cohen‚Äôs d, 0.8; alpha error, 0.05; power, 0.95). The minimum of 61 participants turned out necessary to achieve an acceptable level of significance and power of the study; 93 were involved.",Solves for sample size (often called a priori),,No,Yes,Yes,3.1,Yes,0.95,Yes (0.05),,Yes,61,d,,,Yes,0.8,t-test,,,independent or paired,No,,No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).","They have a primary outcome that they test in 4 different situation. Thus, they have 4 primary outcomes.",No,Unsure (there's not enough information to reasonably code yes or no).,"I can't reproduce the power calc. For a sample size of 61 with a cohen's d = 0.8, I imagine it would need to be independent samples. However, they should be running paired tests because participants were in both conditions.",Unsure (there's not enough information to reasonably code yes or no).,,,It really looks like they had a convinience sample of 93 and then later did a power calc.,
44,EZ/RTT,,,PMC6511341,No,Include,Humans,,european journal of pediatrics,SPRINGER,2019,2.242,"The sample size was calculated with the G*Power 3.1 software, and the two-tailed t test was applied (Cohen‚Äôs d, 0.8; alpha error, 0.05; power, 0.95). The minimum of 61 participants turned out necessary to achieve an acceptable level of significance and power of the study; 93 were involved.",Solves for sample size (often called a priori),,No,Yes,Yes,3.1,Yes,0.95,Yes (0.05),,Yes,61,d,,,Yes,0.8,t-test,,,independent or paired,No,,No justification or basis is reported,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).","They have a primary outcome that they test in 4 different situation. Thus, they have 4 primary outcomes.",No,Unsure (there's not enough information to reasonably code yes or no).,,Yes,"prim outcome is binomial, but they used a t-test for their power calc",,,
44,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tb,,tb,,,,
45,EZ,1,,PMC6511977,No,Include,Humans,,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,,2018,2.159,"With 23 participants, sensitivity analyses (Œ± = 0.05 two-tailed, and 1-Œ≤ = 0.8) indicate that we can detect across-participant effects as small as Cohen‚Äôs d = 0.61 using a paired t-test (Faul, Erdfelder, Lang, & Buchner, 2007) (e.g., compare average awareness levels at two different contrasts across participants, compare average judgment ratings for smiling vs. scowling faces across participants). Thus, we are sufficiently powered to detect effects smaller than were found in a prior study using a similar task comparing social judgments of neutral faces when paired with suppressed smiling vs. scowling faces (Study 3, Trustworthiness ratings, Cohen‚Äôs d = 1.06; Anderson et al. 2012).",Solves for effect size (often called sensitivity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,RTT,2,,PMC6511977,No,Include,Humans,,OURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,,2018,2.159,"Because this project was the first of its kind, it was not possible to use traditional power analyses to determine sample size. Therefore, sample size was determined by our resources...With 23 participants, sensitivity analyses (Œ± = 0.05 two-tailed, and 1-Œ≤ = 0.8) indicate that we can detect across-participant effects as small as Cohen‚Äôs d = 0.61 using a paired t-test (Faul, Erdfelder, Lang, & Buchner, 2007) (e.g., compare average awareness levels at two different contrasts across participants, compare average judgment ratings for smiling vs. scowling faces across participants). Thus, we are sufficiently powered to detect effects smaller than were found in a prior study using a similar task comparing social judgments of neutral faces when paired with suppressed smiling vs. scowling faces (Study 3, Trustworthiness ratings, Cohen‚Äôs d = 1.06; Anderson et al. 2012).",Solves for effect size (often called sensitivity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,EZ/RTT,,,PMC6511977,No,Include,Humans,,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,ACADEMIC PRESS INC ELSEVIER SCIENCE,2018,2.159,"Because this project was the first of its kind, it was not possible to use traditional power analyses to determine sample size. Therefore, sample size was determined by our resources...With 23 participants, sensitivity analyses (Œ± = 0.05 two-tailed, and 1-Œ≤ = 0.8) indicate that we can detect across-participant effects as small as Cohen‚Äôs d = 0.61 using a paired t-test (Faul, Erdfelder, Lang, & Buchner, 2007) (e.g., compare average awareness levels at two different contrasts across participants, compare average judgment ratings for smiling vs. scowling faces across participants). Thus, we are sufficiently powered to detect effects smaller than were found in a prior study using a similar task comparing social judgments of neutral faces when paired with suppressed smiling vs. scowling faces (Study 3, Trustworthiness ratings, Cohen‚Äôs d = 1.06; Anderson et al. 2012).",Solves for effect size (often called sensitivity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,resolveNotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,EZ,,,PMC6843247,No,Include,Humans,,Medicina (Kaunas),,2019,1.429,"Statistical evaluation was performed with a paired Student‚Äôs t-test utilizing an excel spreadsheet. Sample size was determined by maximizing the statistical power. The analysis was performed by using G*Power3.1 software [14]. A difference between the two dependent means (matched pairs) t-test was computed. Input data were the following: Œ± was set at 0.01, 1‚àíŒ≤ was set at 0.99 and effect size was set as medium at around 0.4. Results were as follows: non-centrality parameter Œ¥ = 4.710; Critical t = 2.358; DF = 119; Actual power = 0.990095 and Total sample size = 120.",Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,EZ2,1,,PMC6843247,No,Include,Humans,,Medicine (Kaunas),,2019,JCR proxy bug (can't look it up for some reason....),"Statistical evaluation was performed with a paired Studentâ€™s t-test utilizing an excel spreadsheet. Sample size was determined by maximizing the statistical power. The analysis was performed by using G*Power3.1 software [14]. A difference between the two dependent means (matched pairs) t-test was computed. Input data were the following: Î± was set at 0.01, 1âˆ’Î² was set at 0.99 and effect size was set as medium at around 0.4. Results were as follows: non-centrality parameter Î´ = 4.710; Critical t = 2.358; DF = 119; Actual power = 0.990095 and Total sample size = 120.",Solves for sample size (often called a priori),,No,Yes,Yes,3.1,Yes,0.99,Yes,0.01,Yes,120,No,,,Yes,0.4,t-test,,,whether its two tailed,No,,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,No,Yes,Can reasonably assumed that a t-test was used for the primary outcomes. But this is of course hard when the primary/ main outcomes aren't defined.,No,,,,
46,RTT,2,,PMC6843247,No,Include,Humans,,Medicina-Lithuania,,2019,1.429,"Statistical evaluation was performed with a paired Student‚Äôs t-test utilizing an excel spreadsheet. Sample size was determined by maximizing the statistical power. The analysis was performed by using G*Power3.1 software [14]. A difference between the two dependent means (matched pairs) t-test was computed. Input data were the following: Œ± was set at 0.01, 1‚àíŒ≤ was set at 0.99 and effect size was set as medium at around 0.4. Results were as follows: non-centrality parameter Œ¥ = 4.710; Critical t = 2.358; DF = 119; Actual power = 0.990095 and Total sample size = 120.",Solves for sample size (often called a priori),,No,Yes,Yes,3.1,Yes,0.99,Yes,0.01,Yes,120,No,,,Yes,0.4,t-test,,,tails,No,,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",see Table 1,No,Yes,see Table 1,"Likely, but I cannot be certain based on the information provided.","I can't reproduce their sample size, but they give all the parameters necessay to reproduce it.",,They have a sample size of 120 eyes from 60 participants. They should be averaging the two eyes from single participants and not treating them as two seperate data points.,
46,EZ/RTT,,,PMC6843247,No,Include,Humans,,Medicina-Lithuania,MDPI,2019,1.429,"Statistical evaluation was performed with a paired Student‚Äôs t-test utilizing an excel spreadsheet. Sample size was determined by maximizing the statistical power. The analysis was performed by using G*Power3.1 software [14]. A difference between the two dependent means (matched pairs) t-test was computed. Input data were the following: Œ± was set at 0.01, 1‚àíŒ≤ was set at 0.99 and effect size was set as medium at around 0.4. Results were as follows: non-centrality parameter Œ¥ = 4.710; Critical t = 2.358; DF = 119; Actual power = 0.990095 and Total sample size = 120.",Solves for sample size (often called a priori),,No,Yes,Yes,3.1,Yes,0.99,Yes,0.01,Yes,120,No,,,Yes,0.4,t-test,,,whether its two tailed,No,,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",see Table 1,No,Yes,see Table 1,Unsure (there's not enough information to reasonably code yes or no).,"I can't reproduce their sample size, but they give all the parameters necessay to reproduce it.",,They have a sample size of 120 eyes from 60 participants. They should be averaging the two eyes from single participants and not treating them as two seperate data points.,
